gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000011478.7,447,369,255,235
ENSG00000157168.14,25,24,18,33
ENSG00000163882.5,1025,872,700,582
ENSG00000241370.1,5,4,5,4
ENSG00000137757.6,2,2,3,1
ENSG00000197461.9,373,464,320,482
ENSG00000198046.7,3,2,1,2
ENSG00000188581.8,1,0,0,1
ENSG00000197157.6,4769,3840,4028,3566
ENSG00000092200.8,94,79,38,76
ENSG00000183103.6,1,1,1,1
ENSG00000108219.10,3844,3523,2452,2570
ENSG00000228083.1,0,0,0,0
ENSG00000204147.5,232,252,241,254
ENSG00000151790.4,4,6,4,7
ENSG00000168785.3,244,176,114,131
ENSG00000100263.9,312,265,291,268
ENSG00000135974.5,325,656,522,539
ENSG00000044574.7,9288,8036,7389,6589
ENSG00000186652.5,0,0,0,0
ENSG00000102128.6,8,11,5,8
ENSG00000187243.12,23,13,13,17
ENSG00000103710.6,2,1,3,3
ENSG00000173757.5,992,779,839,692
ENSG00000229544.6,0,0,0,2
ENSG00000105229.2,1127,961,938,802
ENSG00000161055.3,0,0,0,0
ENSG00000164707.11,22,11,16,23
ENSG00000181827.10,1084,647,797,863
ENSG00000163421.4,0,1,1,0
ENSG00000090686.11,1093,967,957,1021
ENSG00000125787.7,1,5,3,3
ENSG00000076604.10,3209,2581,2908,2536
ENSG00000187950.4,2,2,2,1
ENSG00000111144.5,1822,1538,1559,1363
ENSG00000112062.6,2150,1920,1819,1566
ENSG00000123416.11,37804,30130,33508,27666
ENSG00000123739.6,438,355,227,682
ENSG00000167104.7,2,0,0,2
ENSG00000183036.6,84,88,57,67
ENSG00000101224.13,3442,2993,3600,3191
ENSG00000036672.11,100,75,118,130
ENSG00000214670.3,7,2,2,2
ENSG00000082126.13,4,3,9,7
ENSG00000203871.4,1,1,1,2
ENSG00000189052.6,0,0,0,0
ENSG00000166748.8,30,24,17,44
ENSG00000128683.9,96,62,56,48
ENSG00000157916.14,1682,1414,1491,1176
ENSG00000006652.9,1220,1265,940,854
ENSG00000091073.15,367,225,322,218
ENSG00000158062.16,379,228,177,331
ENSG00000183748.4,4,3,3,4
ENSG00000159111.8,1263,1078,1102,1028
ENSG00000112655.11,761,606,573,604
ENSG00000206102.2,0,0,0,0
ENSG00000166997.3,130,89,75,107
ENSG00000133028.6,887,683,709,564
ENSG00000166796.7,8,6,6,8
ENSG00000124782.15,1820,1060,1777,934
ENSG00000120833.9,617,537,713,688
ENSG00000056736.5,723,617,328,285
ENSG00000110042.3,44,38,92,58
ENSG00000163792.5,0,0,0,1
ENSG00000168216.6,901,852,897,873
ENSG00000079691.15,1333,1149,987,1232
ENSG00000160183.9,53,68,12,13
ENSG00000010539.7,417,388,322,287
ENSG00000091704.5,1,0,2,2
ENSG00000132383.7,2924,2380,2689,2134
ENSG00000105146.8,0,0,0,2
ENSG00000106631.4,0,0,2,0
ENSG00000256530.1,6,1,3,4
ENSG00000164323.8,801,1040,603,772
ENSG00000163900.6,777,658,652,1674
ENSG00000121898.8,32,47,24,24
ENSG00000168260.1,8,7,10,8
ENSG00000175518.6,0,0,0,0
ENSG00000257545.1,216,208,210,223
ENSG00000180509.7,3,6,7,9
ENSG00000259458.1,0,0,0,0
ENSG00000159267.10,497,371,452,448
ENSG00000172500.8,1080,836,816,726
ENSG00000188372.10,264,241,180,68
ENSG00000185052.7,1283,854,1097,689
ENSG00000177283.4,172,159,191,196
ENSG00000141449.10,115,134,109,171
ENSG00000186818.8,2,1,2,4
ENSG00000165084.11,11,17,11,19
ENSG00000250709.1,4,3,0,6
ENSG00000183760.6,8,11,12,5
ENSG00000197162.8,411,363,330,189
ENSG00000101986.8,609,574,604,620
ENSG00000099814.11,5477,4187,4103,3704
ENSG00000143458.7,327,444,192,450
ENSG00000177239.10,1475,1270,1356,1106
ENSG00000181001.1,0,0,0,0
ENSG00000141447.12,822,772,687,522
ENSG00000182247.5,602,533,565,636
ENSG00000171533.7,10,11,6,11
ENSG00000236334.1,190,139,170,121
ENSG00000142669.9,1043,810,1152,774
ENSG00000128394.12,0,0,0,0
ENSG00000176136.4,9,6,11,9
ENSG00000197061.3,0,1,4,3
ENSG00000128694.7,98,57,23,109
ENSG00000136891.9,1768,1520,1077,886
ENSG00000197223.7,288,310,275,240
ENSG00000198815.4,1119,1020,1145,1010
ENSG00000102385.8,7,4,5,5
ENSG00000213462.4,452,274,236,316
ENSG00000144645.9,890,522,508,456
ENSG00000133149.5,0,0,0,0
ENSG00000058056.4,1758,1746,1817,1782
ENSG00000168268.6,1174,914,1053,780
ENSG00000100897.13,2448,2207,2312,1996
ENSG00000110801.9,1207,1027,1074,1001
ENSG00000175505.9,174,145,109,116
ENSG00000175189.3,3,3,5,1
ENSG00000167139.4,1,3,1,2
ENSG00000138031.10,478,448,358,333
ENSG00000197905.4,503,387,360,386
ENSG00000269468.1,0,0,0,0
ENSG00000105926.11,151,69,88,80
ENSG00000228517.2,0,0,0,0
ENSG00000269093.1,2,2,1,2
ENSG00000072071.12,2978,2135,2223,2038
ENSG00000264116.1,1,0,0,0
ENSG00000259003.1,0,0,0,1
ENSG00000153827.9,10049,4207,4343,3613
ENSG00000109089.7,836,676,707,630
ENSG00000100353.13,3477,2639,2703,2295
ENSG00000133055.4,1,6,3,3
ENSG00000153879.4,1642,1388,1215,1164
ENSG00000260362.1,1,0,1,2
ENSG00000165714.6,43,56,38,25
ENSG00000042445.9,554,407,582,532
ENSG00000117010.11,26,26,32,25
ENSG00000107242.13,42,20,43,0
ENSG00000230778.1,0,3,1,0
ENSG00000106588.6,1800,1609,1609,1252
ENSG00000142731.6,466,470,466,611
ENSG00000198431.11,8138,7105,7282,6984
ENSG00000115112.7,20,16,2,8
ENSG00000104953.14,17,14,12,15
ENSGR0000168939.6,89,87,72,71
ENSG00000255529.3,515,426,495,439
ENSG00000130204.8,2716,2152,1910,1554
ENSG00000228325.3,1,1,1,1
ENSG00000184345.4,1,0,0,0
ENSG00000181355.16,148,135,127,110
ENSG00000162341.11,491,453,361,376
ENSG00000176798.1,0,0,0,0
ENSG00000183475.8,872,784,184,809
ENSG00000117899.6,1494,1381,1286,1230
ENSG00000114107.4,485,401,422,434
ENSG00000110074.6,352,213,187,175
ENSG00000184293.3,3,2,5,4
ENSG00000161542.12,2135,1798,2104,1705
ENSG00000160352.11,308,196,462,327
ENSG00000148082.5,50,26,59,25
ENSG00000126856.9,17,9,8,12
ENSG00000130598.11,3,1,1,1
ENSG00000138386.12,261,295,278,266
ENSG00000138755.5,1,0,0,0
ENSG00000166863.7,6,2,2,3
ENSG00000132975.6,1,0,0,1
ENSG00000160999.8,64,59,62,120
ENSG00000254834.2,0,0,0,0
ENSG00000136834.2,1,0,2,0
ENSG00000159556.5,4,3,10,15
ENSG00000161888.7,176,272,249,299
ENSG00000205808.4,0,14,0,11
ENSG00000116652.5,0,0,1,2
ENSG00000111249.9,21,16,16,44
ENSG00000129965.9,32,10,0,10
ENSG00000146540.10,5182,4275,4230,4443
ENSG00000198331.6,94,155,297,124
ENSG00000111666.6,1421,1401,1098,907
ENSG00000109061.9,0,1,0,1
ENSG00000145934.11,67,64,16,41
ENSG00000185246.13,1203,1119,980,925
ENSG00000152904.7,934,853,864,788
ENSG00000269676.1,0,0,1,0
ENSG00000150628.2,1,3,1,0
ENSG00000168333.9,1,0,1,1
ENSG00000183597.11,534,364,284,225
ENSG00000182898.3,12,5,9,17
ENSG00000168301.8,154,131,66,65
ENSG00000148450.8,422,437,437,420
ENSG00000177879.10,765,753,720,793
ENSG00000087274.12,4062,3185,3239,2872
ENSG00000173812.6,3099,4183,4183,3463
ENSG00000015171.14,8009,6884,5764,4915
ENSG00000139610.1,2,1,3,1
ENSG00000132294.9,3283,3104,2899,3013
ENSG00000142655.8,300,258,278,128
ENSG00000185324.17,1833,1388,1693,1270
ENSG00000204919.1,1,0,0,0
ENSG00000111775.2,4643,3748,3910,3294
ENSG00000105327.11,147,124,149,211
ENSG00000110619.12,1371,1201,1123,961
ENSG00000143434.11,39,39,25,41
ENSG00000255468.2,83,86,110,16
ENSG00000078747.8,3133,2814,1845,1653
ENSG00000128626.7,925,849,642,511
ENSG00000127472.6,1,2,2,5
ENSG00000163848.14,1638,1451,1448,1399
ENSG00000187824.4,13,13,10,9
ENSG00000105954.2,0,0,0,0
ENSG00000139998.10,668,358,194,176
ENSG00000126453.5,722,612,692,517
ENSG00000146054.13,14,9,6,6
ENSG00000100077.10,115,130,79,76
ENSG00000101883.4,2,2,2,3
ENSG00000205078.5,6,13,3,25
ENSG00000170893.3,4,4,1,2
ENSG00000268461.1,1,2,2,1
ENSG00000183580.8,19,20,19,39
ENSG00000154096.9,2,1,1,1
ENSG00000105193.4,8075,6944,6885,5997
ENSG00000269494.1,2,0,0,0
ENSG00000214414.5,0,0,0,0
ENSG00000159713.6,15,11,10,19
ENSG00000172468.9,0,0,0,0
ENSG00000116106.7,332,268,530,478
ENSG00000181634.7,8,9,7,4
ENSG00000131828.9,2544,2079,2096,1862
ENSG00000029639.6,216,217,177,129
ENSG00000260027.3,0,87,0,85
ENSG00000197635.5,14,6,7,11
ENSG00000132471.7,2315,1553,1926,2068
ENSG00000241685.4,5238,4496,4457,4109
ENSG00000182348.5,20,23,28,44
ENSG00000128602.5,3,6,2,3
ENSG00000180535.3,4,1,4,5
ENSG00000159398.11,3,2,1,10
ENSG00000129355.6,117,118,138,112
ENSG00000087502.13,1048,1028,854,950
ENSG00000131149.13,18791,15658,14508,13445
ENSG00000051382.4,2815,2461,2504,2235
ENSG00000107984.5,2562,3304,3844,3536
ENSG00000177143.3,0,0,0,0
ENSG00000197629.5,0,0,0,0
ENSGR0000169100.8,4857,3991,3945,3645
ENSG00000165443.7,3,2,2,3
ENSG00000261609.3,3012,3188,2497,2458
ENSG00000160505.11,3,2,3,5
ENSG00000160633.8,3025,2401,2409,2040
ENSG00000154654.10,4316,3731,3665,4009
ENSG00000175197.6,31,15,33,47
ENSG00000134256.8,751,646,223,578
ENSG00000198074.5,5,9,5,6
ENSG00000189375.6,94,861,326,679
ENSG00000130881.9,1386,1358,1109,1080
ENSG00000079387.9,1186,2228,1171,1050
ENSG00000268181.1,0,0,0,0
ENSG00000088986.6,2521,2341,2227,1508
ENSG00000183023.14,222,147,130,142
ENSG00000268193.1,344,74,2,5
ENSG00000163235.11,363,185,80,81
ENSG00000126215.9,475,215,259,223
ENSG00000144362.7,99,22,33,84
ENSG00000155428.8,19,13,18,19
ENSG00000165985.8,17,15,15,19
ENSG00000160181.4,3,2,0,1
ENSG00000224854.2,0,0,0,0
ENSG00000103549.17,3416,2867,2700,2500
ENSG00000248933.1,0,0,0,0
ENSG00000167306.14,1986,1591,1592,1642
ENSG00000198382.4,1235,1169,1203,1282
ENSG00000196361.5,1,1,2,2
ENSG00000171435.9,211,271,282,272
ENSG00000196391.6,13,48,65,64
ENSG00000137831.10,358,350,417,242
ENSG00000131477.6,0,1,2,2
ENSG00000079156.12,95,66,93,99
ENSG00000131495.4,1094,730,723,957
ENSG00000116514.12,286,239,256,226
ENSG00000242114.1,233,221,208,214
ENSG00000198366.5,16,25,18,23
ENSG00000170088.9,1316,1323,1009,1024
ENSG00000178685.9,299,379,482,497
ENSG00000167244.13,10,0,0,10
ENSG00000214556.4,3,4,4,2
ENSG00000236737.1,0,0,0,0
ENSG00000115290.5,1199,1269,1585,1330
ENSG00000012963.9,2186,1794,1941,1941
ENSG00000108510.5,11604,10781,10652,10416
ENSG00000221887.4,1,29,28,22
ENSG00000259431.1,275,379,297,312
ENSG00000265690.3,51,59,125,17
ENSG00000117054.9,442,357,339,234
ENSG00000079150.13,13,7,11,10
ENSG00000255408.2,24,8,20,17
ENSG00000100418.7,678,632,554,374
ENSG00000117477.8,25,21,10,28
ENSG00000165300.6,10,9,22,25
ENSG00000126216.8,1287,1130,903,865
ENSG00000086232.8,7621,6299,4490,5849
ENSG00000180525.9,0,0,0,0
ENSG00000029993.10,6206,5070,5674,5241
ENSG00000204713.6,95,57,45,42
ENSG00000146350.9,93,110,42,48
ENSG00000161180.6,2,2,4,3
ENSG00000168329.9,0,2,2,3
ENSG00000167588.8,4,9,12,9
ENSG00000233670.6,6,5,8,7
ENSG00000114019.10,2953,2427,3204,3071
ENSG00000116903.6,975,923,736,767
ENSG00000187833.7,1,2,1,5
ENSG00000175662.13,2782,1696,2341,1990
ENSG00000124523.10,219,175,233,154
ENSG00000213463.3,626,646,702,618
ENSG00000004864.9,1521,1208,1290,1261
ENSG00000136811.12,1925,1604,1547,1408
ENSG00000269650.1,0,0,0,0
ENSG00000130508.6,2184,1784,1843,1813
ENSG00000104147.4,111,87,105,106
ENSG00000205929.5,0,0,0,0
ENSG00000135413.4,0,1,0,0
ENSG00000161904.7,1109,958,822,798
ENSG00000146232.10,377,307,203,217
ENSG00000113649.7,3290,3129,2643,2460
ENSG00000060709.9,18,12,9,31
ENSG00000115233.7,1951,1573,1664,1457
ENSG00000104331.4,3072,2943,2286,2478
ENSG00000164294.9,0,0,0,19
ENSG00000112701.13,2226,2187,2331,2236
ENSG00000131013.3,735,680,591,540
ENSG00000157470.7,69,67,73,19
ENSG00000111664.6,1,0,1,104
ENSG00000110172.7,883,748,547,454
ENSG00000240654.2,1,1,1,1
ENSG00000133315.6,1162,1064,1160,1160
ENSG00000121022.9,1265,1068,1085,927
ENSG00000141026.4,509,387,467,421
ENSG00000152219.4,468,451,330,340
ENSG00000169967.12,800,718,617,715
ENSG00000196622.6,16,9,22,18
ENSG00000105355.4,1721,1395,1275,1171
ENSG00000102030.11,1496,1221,1128,1075
ENSG00000121053.5,11,16,16,15
ENSG00000151276.19,1954,2586,1881,1566
ENSG00000133106.10,12,8,4,19
ENSG00000167283.3,1986,1499,1453,728
ENSG00000165186.9,3,3,2,6
ENSG00000102802.5,0,0,1,1
ENSG00000196268.7,5,22,31,3
ENSG00000177954.7,5008,4565,4408,4105
ENSG00000127324.4,8,6,2,18
ENSG00000077585.9,662,599,639,599
ENSG00000106927.7,9,18,10,10
ENSG00000169241.13,782,695,770,656
ENSG00000257065.1,49,101,68,42
ENSG00000187559.4,14,12,10,7
ENSG00000130520.6,740,715,656,607
ENSG00000117523.11,11879,9281,9512,8478
ENSG00000106006.6,1,1,2,1
ENSG00000267970.1,1,2,1,1
ENSG00000154174.7,3462,3386,2575,2706
ENSG00000162620.11,7,7,8,9
ENSG00000134909.14,792,805,1337,977
ENSG00000259471.1,7,4,5,11
ENSG00000198276.9,1437,1152,868,738
ENSG00000268891.1,143,130,110,110
ENSG00000119326.10,998,894,992,910
ENSG00000112659.9,1115,749,800,785
ENSG00000101447.9,1034,913,917,818
ENSG00000185838.9,1378,1413,954,867
ENSG00000154269.10,74,130,167,154
ENSG00000197658.5,4,5,4,10
ENSG00000132952.7,845,962,541,613
ENSG00000142515.10,3,2,2,4
ENSG00000197122.7,1600,1275,979,1007
ENSG00000144834.8,0,1,0,2
ENSG00000185585.15,16,37,28,48
ENSG00000166398.8,739,509,666,687
ENSG00000064012.17,272,306,236,293
ENSG00000176155.14,851,513,483,610
ENSG00000153283.8,209,150,153,130
ENSG00000174903.10,12002,9568,9956,8732
ENSG00000197978.8,61,56,63,51
ENSG00000151532.9,937,779,887,760
ENSG00000267216.1,1442,1154,1133,827
ENSG00000175287.14,4,5,4,3
ENSG00000130783.9,19,17,20,20
ENSG00000146648.11,31,21,19,28
ENSG00000120322.2,117,90,110,115
ENSG00000164100.7,147,108,69,69
ENSG00000269064.1,0,0,0,0
ENSG00000139718.6,2392,1884,2051,1830
ENSG00000255622.1,10,4,5,9
ENSG00000154743.13,517,363,172,220
ENSG00000161573.6,0,0,1,1
ENSG00000122986.9,13,8,10,13
ENSG00000183067.5,27,45,54,38
ENSG00000100124.8,546,370,446,319
ENSG00000174500.8,24,16,21,24
ENSG00000116521.6,1830,1447,1401,1174
ENSG00000006555.6,1,2,2,1
ENSG00000104687.8,3040,2651,2748,2462
ENSG00000204767.3,0,0,0,0
ENSG00000261934.1,45,3,40,35
ENSG00000177463.11,958,927,943,761
ENSG00000155324.5,441,225,905,797
ENSG00000258653.3,152,4,144,51
ENSG00000150687.7,781,710,1366,257
ENSG00000198399.10,984,758,989,756
ENSG00000183092.11,61,79,63,89
ENSG00000196586.9,7087,6554,7678,6664
ENSG00000165071.10,2,4,2,5
ENSG00000254709.2,0,0,0,0
ENSG00000140829.7,3165,2282,2434,2018
ENSG00000072858.6,850,644,1198,1004
ENSG00000214513.3,1,2,1,2
ENSG00000108352.7,744,469,238,206
ENSG00000168209.4,423,321,1163,1021
ENSG00000172421.3,60,63,105,96
ENSG00000197355.6,1296,1028,1224,980
ENSG00000135299.12,54,78,39,80
ENSG00000121075.5,74,161,126,157
ENSG00000170954.7,0,6,8,2
ENSG00000198554.7,595,462,539,531
ENSG00000148303.12,11206,8793,9924,8293
ENSG00000255737.2,38,21,28,127
ENSG00000253633.1,1,4,2,3
ENSG00000167378.4,284,323,361,130
ENSG00000127955.11,4,4,2,6
ENSG00000130429.8,6199,4618,4491,4298
ENSG00000159788.14,411,464,533,271
ENSG00000110048.7,1735,1525,1447,1294
ENSG00000171346.9,89,60,28,42
ENSG00000175322.7,222,18,264,265
ENSG00000091651.4,429,316,336,299
ENSG00000255221.2,0,0,0,0
ENSG00000185100.6,97,50,110,68
ENSG00000204370.4,258,202,228,237
ENSG00000184060.6,36,27,31,29
ENSG00000100427.11,1,2,1,2
ENSG00000116985.6,25,159,0,149
ENSG00000038382.13,5757,4243,4116,4553
ENSG00000120675.4,3029,2451,2597,3057
ENSG00000064692.14,35,26,36,48
ENSG00000137558.3,0,2,3,4
ENSG00000137707.9,2,1,1,1
ENSG00000184599.9,2,0,0,3
ENSG00000101074.3,0,0,1,5
ENSG00000138166.5,74,64,60,60
ENSG00000149735.2,2,3,1,3
ENSG00000198130.10,443,536,471,451
ENSG00000074966.6,10,12,12,12
ENSG00000128654.9,779,719,655,639
ENSG00000124313.8,712,528,739,509
ENSG00000167323.5,1157,957,864,866
ENSG00000022277.8,4467,8043,4034,3504
ENSG00000198546.10,342,340,279,284
ENSG00000162692.6,0,0,0,1
ENSG00000064547.9,721,506,526,424
ENSG00000184148.3,0,0,0,1
ENSG00000273171.1,1,1,0,1
ENSG00000157741.10,928,886,1011,1216
ENSG00000106399.7,567,1054,464,1029
ENSG00000205334.2,1,2,1,1
ENSG00000105976.10,593,350,346,434
ENSG00000176476.4,668,529,527,506
ENSG00000111276.6,1771,1580,1960,1944
ENSG00000155926.9,0,0,0,0
ENSG00000104365.9,948,602,602,579
ENSG00000126243.4,259,204,238,190
ENSG00000151176.3,1232,1229,2010,1027
ENSG00000164708.5,0,0,0,0
ENSG00000011275.14,1451,1356,1285,1142
ENSG00000062038.9,3330,2839,3555,3203
ENSG00000170425.3,41,22,28,24
ENSG00000163565.14,3,2,3,2
ENSG00000240771.2,58,24,56,38
ENSG00000123610.3,3,2,2,1
ENSG00000005175.5,1565,1411,1536,1394
ENSG00000141349.4,706,630,714,557
ENSG00000138138.9,795,647,636,637
ENSG00000100425.14,2127,1877,1410,1421
ENSG00000132359.9,672,361,484,469
ENSG00000088387.13,974,964,826,690
ENSG00000150477.10,29,59,31,25
ENSG00000185480.7,660,422,527,568
ENSG00000065308.4,2384,1039,1380,1288
ENSG00000161960.10,13101,10814,10088,8678
ENSG00000093000.14,1854,1993,1608,1532
ENSG00000137074.14,407,340,346,285
ENSG00000104537.12,6,4,2,11
ENSG00000151773.8,154,267,367,331
ENSG00000188636.3,1682,1368,1118,950
ENSG00000162817.6,102,104,117,108
ENSG00000101294.12,3404,2885,2699,2550
ENSG00000101746.11,7,6,7,10
ENSG00000006071.7,98,84,66,64
ENSG00000031081.6,44,54,68,60
ENSG00000083520.10,1435,1341,1086,1081
ENSG00000027001.7,1061,905,460,954
ENSG00000100603.9,3943,3499,3315,2992
ENSG00000184779.8,5015,4171,3739,3464
ENSG00000124102.4,6,3,2,3
ENSG00000139722.2,1233,901,899,928
ENSG00000109674.3,187,178,264,231
ENSG00000165973.13,104,108,77,97
ENSG00000111300.5,2403,2233,1668,1706
ENSG00000132704.11,1,0,1,2
ENSG00000107954.6,45,29,82,27
ENSG00000165591.6,303,334,347,199
ENSG00000203879.7,5835,4787,4865,4025
ENSG00000169955.6,42,10,24,27
ENSG00000205495.1,0,0,0,0
ENSG00000198721.8,263,168,121,232
ENSG00000167772.7,77,68,36,29
ENSG00000101445.5,7,3,3,7
ENSG00000204352.2,238,141,52,62
ENSG00000231924.5,1,3,1,2
ENSG00000112146.12,903,715,646,722
ENSG00000105176.13,2240,2016,2055,1904
ENSG00000128313.2,1,1,0,2
ENSG00000164047.3,2,2,3,3
ENSG00000106714.13,8,7,8,9
ENSG00000184489.7,290,200,175,205
ENSG00000172476.3,16,13,16,12
ENSG00000221840.2,0,0,0,0
ENSG00000253276.1,121,111,197,187
ENSG00000138336.8,157,174,83,96
ENSG00000169116.7,141,119,97,82
ENSG00000010295.15,11,6,4,4
ENSG00000124469.6,3,1,2,1
ENSG00000176679.8,0,0,0,0
ENSG00000116117.13,220,315,114,226
ENSG00000112144.11,957,935,797,879
ENSG00000012124.10,52,62,11,14
ENSG00000163931.11,6490,5500,4960,4536
ENSG00000182150.11,740,778,500,852
ENSG00000135569.3,0,0,0,0
ENSG00000261427.2,29,136,2,17
ENSG00000138964.12,1,1,1,0
ENSG00000099901.12,1757,1540,1558,1347
ENSG00000135506.11,5888,4630,4938,4163
ENSG00000183696.9,13,10,15,9
ENSG00000137752.18,1,0,0,0
ENSG00000124357.8,844,683,762,665
ENSG00000170647.2,13,19,17,17
ENSG00000166265.7,3,2,1,4
ENSG00000185670.7,164,137,207,116
ENSG00000197134.7,67,90,93,112
ENSG00000204688.5,0,0,0,0
ENSG00000205669.2,20,17,14,16
ENSG00000269360.1,0,1,1,1
ENSG00000165804.11,998,814,645,485
ENSG00000164237.4,211,214,240,235
ENSG00000043591.4,72,82,10,10
ENSG00000137501.12,13743,10023,13691,12771
ENSG00000109189.8,1417,1265,1111,1172
ENSG00000153902.9,3,3,7,4
ENSG00000160179.14,1782,1567,1817,1741
ENSG00000228856.3,0,0,0,0
ENSG00000120149.7,732,311,857,826
ENSG00000177663.9,545,577,648,325
ENSG00000132386.6,114,85,67,64
ENSG00000174007.7,3,3,0,4
ENSG00000163216.6,1,0,0,1
ENSG00000183287.9,9,8,8,13
ENSG00000128040.6,3,3,5,1
ENSG00000177191.2,19,16,34,35
ENSG00000109184.10,505,1435,1094,932
ENSG00000178301.3,0,0,2,0
ENSG00000267477.1,5,2,4,4
ENSG00000124209.3,4611,4403,4086,3870
ENSG00000197106.6,13,13,11,15
ENSG00000175097.3,4,3,0,0
ENSG00000120306.5,414,313,1614,298
ENSG00000168564.5,329,257,276,209
ENSG00000167257.6,207,161,150,44
ENSG00000137040.8,574,519,518,507
ENSG00000137760.10,142,121,128,44
ENSG00000125457.9,210,228,219,123
ENSG00000137944.12,1090,920,398,584
ENSG00000087884.10,235,174,231,169
ENSG00000171603.12,6100,5246,5498,5253
ENSG00000134438.9,0,0,0,1
ENSG00000154370.9,1344,922,415,468
ENSG00000136931.5,2,1,1,0
ENSG00000133302.8,195,159,615,133
ENSG00000083635.7,620,537,324,271
ENSG00000215186.6,2,2,3,3
ENSG00000263053.3,65,81,32,84
ENSG00000147010.13,483,362,371,269
ENSG00000213297.4,3,18,10,6
ENSG00000109445.6,1334,1123,764,676
ENSG00000077809.8,8741,7869,7586,7233
ENSG00000113555.4,35,35,40,25
ENSG00000153561.8,3914,1815,1790,1605
ENSG00000124784.4,755,1268,397,278
ENSG00000114698.10,12,8,16,13
ENSG00000103184.7,9,14,13,17
ENSG00000173214.5,291,349,245,281
ENSG00000164087.3,327,300,297,291
ENSG00000138696.6,19,28,27,38
ENSG00000178789.4,0,1,0,2
ENSG00000177311.6,1318,611,1702,1068
ENSG00000167601.7,8,6,6,6
ENSG00000065361.10,7652,6759,9518,7870
ENSG00000198692.5,1,1,1,1
ENSG00000269549.1,55,36,115,90
ENSG00000188993.3,4,3,3,2
ENSG00000160180.14,67,53,29,19
ENSG00000232838.3,397,338,297,292
ENSG00000088682.9,743,600,651,504
ENSG00000010671.11,4,3,2,7
ENSG00000198440.5,5,10,5,8
ENSG00000090013.5,1911,1460,1402,1139
ENSG00000215883.5,36,46,24,58
ENSG00000115966.12,712,568,587,601
ENSG00000131263.8,2382,2518,2335,2416
ENSG00000166226.8,10252,8673,7703,6788
ENSG00000174942.1,0,0,0,0
ENSG00000126368.5,238,242,103,98
ENSG00000206181.4,0,0,0,0
ENSG00000109861.11,246,165,193,130
ENSG00000164162.8,169,248,390,73
ENSG00000181924.6,1494,1172,1087,829
ENSG00000169885.5,12,12,18,6
ENSG00000214189.4,0,0,0,0
ENSG00000187961.9,247,192,239,233
ENSG00000182568.12,3,0,1,3
ENSGR0000196433.7,4,4,3,4
ENSG00000175970.7,2630,2102,2333,1949
ENSG00000131724.6,1903,1718,1675,1765
ENSG00000146521.5,1,1,2,0
ENSG00000181982.13,445,335,420,307
ENSG00000122687.13,1983,1693,1595,1280
ENSG00000140968.6,6,11,2,4
ENSG00000163785.8,1223,1382,1222,1017
ENSG00000161652.8,1,1,2,1
ENSG00000143590.9,94,237,257,123
ENSG00000143222.7,2051,1474,1658,1332
ENSG00000118520.9,5,5,7,4
ENSG00000140479.12,1725,1594,1764,1554
ENSG00000081800.4,3,3,2,6
ENSG00000185978.4,2,2,2,2
ENSG00000162630.5,0,0,0,0
ENSG00000071967.7,4,4,8,4
ENSG00000143153.8,2951,2602,2523,2522
ENSG00000088451.6,292,322,229,191
ENSG00000253729.3,10428,9145,8918,8099
ENSG00000114120.7,1501,1319,1178,1212
ENSG00000072609.13,1163,1240,1233,864
ENSG00000168303.6,268,247,241,210
ENSG00000170542.5,102,94,14,13
ENSG00000110925.2,246,874,1049,976
ENSG00000147144.8,1183,996,1152,1363
ENSG00000100285.9,11,8,2,3
ENSG00000105438.4,3774,3279,3216,3035
ENSG00000163961.4,1172,1098,1296,1216
ENSG00000115548.12,1189,1088,1320,1097
ENSG00000196967.6,265,257,4,8
ENSG00000204616.6,1,1,0,1
ENSG00000107829.9,1481,1137,1284,1139
ENSG00000011422.7,9,10,16,18
ENSG00000004866.14,1617,1397,1480,1357
ENSG00000233608.2,1,0,0,2
ENSG00000196758.3,1,0,1,1
ENSG00000120341.14,5,6,5,4
ENSG00000152580.8,1,1,2,3
ENSG00000141101.8,2574,2236,1471,1413
ENSG00000160716.4,13,16,15,6
ENSG00000013523.5,1072,943,834,584
ENSG00000204420.4,0,0,0,0
ENSG00000165185.10,1063,327,601,324
ENSG00000087116.9,9,8,8,19
ENSG00000185009.8,1666,1654,1548,1468
ENSG00000181449.2,59,52,85,78
ENSG00000185372.2,0,0,0,0
ENSG00000269067.1,4,2,2,3
ENSG00000253857.1,0,0,0,0
ENSG00000173540.8,234,200,146,144
ENSG00000162419.8,413,367,420,335
ENSG00000137766.12,16,12,14,35
ENSG00000241233.1,9,12,11,6
ENSG00000162482.4,45,36,20,31
ENSG00000108342.8,0,2,0,0
ENSG00000145868.12,736,849,898,726
ENSG00000171224.7,316,177,272,159
ENSG00000111752.6,215,108,191,127
ENSG00000112984.7,1577,1311,1564,1299
ENSG00000157303.6,76,104,51,62
ENSG00000171132.9,615,586,515,342
ENSG00000168255.14,881,739,770,644
ENSG00000197891.7,0,0,0,3
ENSG00000164188.4,6,3,5,5
ENSG00000121864.5,616,777,475,509
ENSG00000177023.2,0,0,0,0
ENSG00000176853.11,5699,5079,4651,4523
ENSG00000102103.11,1469,1195,1202,950
ENSG00000140807.4,12,5,5,13
ENSG00000196844.4,3,3,3,3
ENSG00000085733.11,10866,9477,8503,5099
