gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000112394.12,22,46,28,50
ENSG00000135622.8,62,70,46,42
ENSG00000196510.8,1432,1119,946,886
ENSG00000143340.6,4,2,5,7
ENSG00000137077.3,0,0,0,0
ENSG00000219607.2,0,0,2,2
ENSG00000165655.14,217,195,110,129
ENSG00000215274.5,1,1,1,2
ENSG00000174442.7,893,811,781,813
ENSG00000120662.11,52,34,72,48
ENSG00000162851.6,751,679,439,379
ENSG00000107821.10,101,122,155,156
ENSG00000022567.5,1247,430,380,403
ENSG00000125827.4,1690,1489,1585,1480
ENSG00000125744.7,243,186,221,148
ENSG00000143630.5,264,254,304,315
ENSG00000139697.7,3709,3409,2731,2559
ENSG00000133661.11,13,7,13,8
ENSG00000064042.13,145,103,92,100
ENSG00000102931.3,697,507,630,619
ENSG00000162616.8,0,0,0,0
ENSG00000196739.10,78,64,66,70
ENSG00000214367.3,397,387,295,362
ENSG00000115170.9,487,443,578,417
ENSG00000141219.11,572,461,360,386
ENSG00000236104.2,10,8,136,119
ENSG00000106266.4,3482,1933,1141,1783
ENSG00000103089.4,99,92,82,85
ENSG00000178233.13,0,0,0,0
ENSG00000197273.3,1,0,0,0
ENSG00000185015.3,10,7,10,10
ENSG00000198754.5,12,4,3,2
ENSG00000134569.5,27,14,14,19
ENSG00000013392.6,302,364,472,344
ENSG00000068028.13,556,468,362,349
ENSG00000181718.4,0,0,0,1
ENSG00000168124.2,6,3,0,0
ENSG00000157191.15,694,630,622,543
ENSG00000188690.8,1042,733,817,713
ENSG00000154493.13,7,6,6,22
ENSG00000249967.1,4,5,4,4
ENSG00000173706.8,1627,1488,177,132
ENSG00000166008.5,1,0,0,1
ENSG00000197595.1,3,3,2,4
ENSG00000205609.8,13132,10851,10252,9232
ENSG00000139687.9,2626,1137,1127,1438
ENSG00000249860.2,0,0,0,0
ENSG00000184178.11,273,196,316,234
ENSG00000149489.4,29,21,15,32
ENSG00000248712.3,14,10,17,7
ENSG00000142347.12,55,22,48,19
ENSG00000178904.14,602,769,431,771
ENSG00000158552.8,418,354,370,334
ENSG00000069399.8,1352,1083,815,736
ENSG00000117560.6,0,1,0,0
ENSG00000164182.6,236,137,117,125
ENSG00000145777.10,0,0,0,0
ENSG00000149577.11,1238,1003,745,641
ENSG00000165966.10,1114,914,1038,870
ENSG00000121318.2,2,2,2,0
ENSG00000146859.6,226,279,0,0
ENSG00000171487.10,8,3,7,7
ENSG00000179626.3,0,0,0,0
ENSG00000144119.3,0,0,0,0
ENSG00000173566.9,101,116,130,99
ENSG00000111875.7,236,406,311,383
ENSG00000183066.10,154,111,116,101
ENSG00000235608.1,0,0,0,0
ENSG00000258529.1,59,141,289,114
ENSG00000035862.8,679,604,610,569
ENSG00000153015.11,324,155,278,269
ENSG00000182899.10,7692,6297,6389,5697
ENSG00000214866.3,2,2,1,5
ENSG00000083067.18,58,49,45,59
ENSG00000115204.10,740,575,638,494
ENSG00000196240.2,1,0,0,0
ENSG00000260092.1,267,3,5,176
ENSG00000069869.11,1520,1554,1616,1334
ENSG00000197576.9,14,0,9,14
ENSG00000138592.9,2163,1846,2394,2180
ENSG00000100307.8,306,179,298,239
ENSG00000205018.2,0,0,0,0
ENSG00000144591.13,577,443,389,387
ENSG00000036448.5,3,2,1,5
ENSG00000257411.1,53,78,81,61
ENSG00000183715.9,23,16,15,34
ENSG00000144792.5,25,26,22,98
ENSG00000250210.3,5,5,7,3
ENSG00000185269.7,2,2,1,2
ENSG00000089116.3,0,1,1,2
ENSG00000131368.3,4146,3241,2567,2148
ENSG00000147852.11,233,162,119,64
ENSG00000267552.2,0,19,5,45
ENSG00000137522.13,631,362,565,253
ENSG00000175854.7,290,201,489,126
ENSG00000126522.12,992,827,795,733
ENSG00000164209.12,1988,1934,740,1761
ENSG00000115539.9,936,770,734,678
ENSG00000164114.14,452,479,496,429
ENSG00000164743.4,5,6,6,5
ENSG00000132141.9,278,76,317,47
ENSG00000203705.6,96,63,84,61
ENSG00000162669.11,2682,2905,2479,5256
ENSG00000179632.5,2613,2376,2341,2040
ENSG00000135829.12,9935,8610,8184,7422
ENSG00000187862.7,0,1,0,1
ENSG00000124098.9,1020,898,131,860
ENSG00000213625.4,442,227,371,458
ENSG00000160447.6,267,175,229,202
ENSG00000205030.1,0,0,0,0
ENSG00000268397.1,0,0,0,0
ENSG00000074603.14,1015,1104,981,734
ENSG00000165388.8,15,19,5,3
ENSG00000162290.12,398,210,281,623
ENSG00000152942.14,647,650,564,491
ENSG00000133134.7,85,65,84,75
ENSG00000100968.9,105,118,186,134
ENSG00000189275.3,3,2,2,3
ENSG00000117984.8,7464,6179,3469,4641
ENSG00000151025.9,140,141,141,138
ENSG00000154914.12,346,235,611,581
ENSG00000198569.5,40,15,25,30
ENSG00000144893.8,581,552,535,596
ENSG00000240510.2,33,29,0,43
ENSG00000085721.8,578,551,432,305
ENSG00000204174.2,1,0,1,0
ENSG00000111245.10,2,2,2,0
ENSG00000112378.11,5675,5060,5009,4840
ENSG00000085063.10,1945,1385,1640,1648
ENSG00000101280.6,5,6,6,7
ENSG00000136169.12,397,175,111,193
ENSG00000215126.6,371,442,293,219
ENSG00000121644.14,616,555,108,504
ENSG00000166828.2,137,104,12,13
ENSG00000138495.2,974,760,705,729
ENSG00000174444.10,23884,19408,19844,14470
ENSG00000224153.2,2,1,1,1
ENSG00000028203.13,2435,1911,2363,2229
ENSG00000135903.14,2,2,2,4
ENSG00000253309.2,22,31,39,48
ENSG00000090920.9,11,12,6,13
ENSG00000197982.12,423,400,360,302
ENSG00000203902.2,1,1,0,1
ENSG00000167967.11,1242,978,750,884
ENSG00000111863.8,1,3,3,9
ENSG00000172748.8,141,163,75,30
ENSG00000101323.4,1,2,1,4
ENSG00000169992.5,912,551,858,529
ENSG00000104941.3,6,5,5,5
ENSG00000263711.1,3,2,1,4
ENSG00000173208.3,3,1,2,2
ENSG00000055950.12,873,619,540,734
ENSG00000154767.10,2299,2044,1628,1485
ENSG00000104356.6,815,800,496,383
ENSG00000136099.9,17,19,35,21
ENSG00000196814.10,769,591,552,535
ENSG00000103037.7,228,215,138,127
ENSG00000181856.10,35,57,12,17
ENSG00000127564.12,1812,1503,1403,1317
ENSG00000264545.1,677,97,256,40
ENSG00000123444.9,117,62,70,97
ENSG00000100403.10,3321,2561,2587,2363
