"logFC" "logCPM" "PValue" "FDR"
"ENSG00000181026.13" 1.53636365933411 6.17436857862232 9.53786629042634e-09 1.9190704887998e-06
"ENSG00000164741.10" 2.33938310626091 4.37463047870181 9.7407425194756e-09 1.9190704887998e-06
"ENSG00000095397.9" 1.427375106949 6.22815923954872 9.86407744938663e-09 1.9190704887998e-06
"ENSG00000168209.4" -1.74184667353736 5.41839889218642 9.95822409472337e-09 1.9190704887998e-06
"ENSG00000167106.7" 1.28891411575033 8.83096019964542 1.08687034419726e-08 2.06326923997686e-06
"ENSG00000100580.7" 1.32189945899884 6.97991074811762 1.20651971591736e-08 2.24836965425645e-06
"ENSG00000048162.15" 1.72683227365525 5.49327017193282 1.21973037301435e-08 2.24836965425645e-06
"ENSG00000204323.5" -3.16368497764555 2.52924782659836 2.36645657347075e-08 4.29985159399635e-06
"ENSG00000182580.2" -2.20749705107957 4.55231649221215 3.72936578777313e-08 6.65512584889862e-06
"ENSG00000185761.6" 2.83421876646947 3.42744733072395 3.76734854250099e-08 6.65512584889862e-06
"ENSG00000136826.10" 1.5067155948799 5.95691778003774 4.74755909149979e-08 8.27180877873778e-06
"ENSG00000127663.10" 1.38967467613727 6.59713149396581 4.87380266558451e-08 8.37701298696883e-06
"ENSG00000177479.15" 1.51668390775248 6.58648292628869 6.0429115339413e-08 1.02479722400266e-05
"ENSG00000158769.13" -2.34880103498112 6.72101895949519 6.47847580561854e-08 1.08420702331135e-05
"ENSG00000138764.9" -1.31861521806361 7.07914444409129 6.73868162058464e-08 1.11310768223657e-05
"ENSG00000134717.13" 1.82371000383409 5.09724796717693 8.08534295418036e-08 1.31842919274641e-05
"ENSG00000096968.8" 2.28942745171901 4.16844824551073 8.40324844871616e-08 1.3529230002433e-05
"ENSG00000182704.6" 2.2628609668742 7.12904353550837 9.100847632396e-08 1.44692101295556e-05
"ENSG00000183484.7" 2.52926788718582 3.68015598674095 9.37429326992531e-08 1.47199550740963e-05
"ENSG00000074964.12" 1.56696982830744 5.65318701264034 1.04256596267582e-07 1.61712152186265e-05
"ENSG00000154274.10" 2.14794218769417 4.85107079687894 1.09431086819982e-07 1.67693252200403e-05
"ENSG00000100311.12" 1.60483090991092 6.94776994023753 1.14027123762265e-07 1.72656069896696e-05
"ENSG00000125630.11" 1.26769285060818 6.29821187397565 1.29666045959939e-07 1.93650676033976e-05
"ENSG00000248905.4" 1.84509287062584 4.9134875493885 1.30937637698891e-07 1.93650676033976e-05
"ENSG00000160182.2" 1.44803334759745 6.06964393645949 1.55416958439933e-07 2.27212447631898e-05
"ENSG00000165029.11" -1.52641328073805 5.65640745584415 1.80420225182177e-07 2.60768732283194e-05
"ENSG00000152137.2" 1.31494744255553 6.57922728487872 1.85426163561044e-07 2.64992738689091e-05
"ENSG00000188112.4" 1.50176105790978 5.70014128628526 1.9609597150307e-07 2.77127184616393e-05
"ENSG00000148339.8" 1.21140463063964 6.63889403436109 2.41887090664505e-07 3.3522756291066e-05
"ENSG00000196917.4" -1.8085503673603 5.69128499728803 2.42479249844962e-07 3.3522756291066e-05
"ENSG00000196428.8" 1.27916938842234 6.24161118739521 2.75728375564872e-07 3.77095613850495e-05
"ENSG00000083828.11" 2.10389250739832 5.11776650765077 2.92480895914786e-07 3.95751544163848e-05
"ENSG00000198042.6" 1.96824221270366 5.05596144707402 3.09862682690568e-07 4.1485720643593e-05
"ENSG00000082516.8" 1.42185874092529 5.8715571733057 3.39767272391551e-07 4.50156243494598e-05
"ENSG00000170500.8" 1.22878083557289 7.27461168372844 4.50610639900706e-07 5.89180435766209e-05
"ENSG00000162975.3" 2.88204838906354 2.26668882102692 4.53964012147877e-07 5.89180435766209e-05
"ENSG00000138018.13" 1.20070152684182 8.03064563995006 4.99403538033904e-07 6.41607434369013e-05
"ENSG00000185090.10" 1.7491502969824 5.01183437783216 5.158584609752e-07 6.56120376514357e-05
"ENSG00000170345.5" 2.67952405191543 3.51168990202802 5.56185812386639e-07 7.0040864829165e-05
"ENSG00000205730.5" -2.70418057513199 4.62154535439949 6.43404464174687e-07 8.0230013527822e-05
"ENSG00000113369.4" -2.22100593939682 4.45100988022023 6.64650803781485e-07 8.20746948863758e-05
"ENSG00000138286.10" -2.00543994902713 5.21186293761714 7.11181036376408e-07 8.69760730929955e-05
"ENSG00000123505.10" 1.18814777561913 7.17878649573576 7.25819823495791e-07 8.79209746194569e-05
"ENSG00000148840.6" 1.47180124483346 7.09553019833785 7.67875701949229e-07 9.21378401235118e-05
"ENSG00000164761.4" -2.78382783150723 2.31369498737383 8.50537603643756e-07 0.000101102689539672
"ENSG00000162989.3" -1.51272844938361 5.66454662797449 8.87254760028428e-07 0.000103693317125529
"ENSG00000125968.7" -1.31700889957184 6.04488160289431 8.88636808450562e-07 0.000103693317125529
"ENSG00000011523.9" 1.83657859674504 4.82610098917551 9.59870273925918e-07 0.000110987181946034
"ENSG00000117289.7" -1.17271879095945 7.48324349986779 9.75306952953427e-07 0.000111756118329862
"ENSG00000165271.12" 1.17990446954885 6.36317437791497 1.17300721291885e-06 0.000133209631617097
"ENSG00000138061.7" -1.21944661364128 6.81949538782147 1.19414275596466e-06 0.000133325673464229
"ENSG00000197977.3" 1.34354669413798 5.99487315437808 1.19499384974622e-06 0.000133325673464229
"ENSG00000140450.7" 1.45371439369139 5.4277050734125 1.22466205240042e-06 0.000135447622995487
"ENSG00000182319.5" 1.63501475255674 5.12333655007422 1.37009155844544e-06 0.000150225814929892
"ENSG00000116251.5" 1.25641653630092 7.70845349878192 1.75926626093701e-06 0.000191248782673999
"ENSG00000134490.9" -3.97728498586496 5.30217456715457 1.89350397018657e-06 0.000204097262684771
"ENSG00000104081.9" -1.30083998458926 6.08264604542068 1.94027231454494e-06 0.000207380870325186
"ENSG00000128274.11" 1.89528722621852 4.3837374376561 2.15664356904288e-06 0.000228586246288803
"ENSG00000129195.11" -2.31144589753318 3.40981826507485 2.35044724357702e-06 0.000247068913149224
"ENSG00000185745.8" -3.23758041022251 4.26294993039744 2.740976422553e-06 0.000285758025561079
"ENSG00000113645.9" 1.12254258649666 7.04620036760977 2.81134429461635e-06 0.000290711285229474
"ENSG00000154222.10" -1.58432970637499 5.05186799389251 2.945714264658e-06 0.000302149513969235
"ENSG00000171617.9" -1.50923734940872 5.57982844511445 3.07163486927827e-06 0.000311075302144136
"ENSG00000153707.11" 2.13997225807783 4.5610365199232 3.08164856279276e-06 0.000311075302144136
"ENSG00000147419.12" 1.31659369577262 5.83910142901881 3.19506906061909e-06 0.000319984908519796
"ENSG00000251537.4" 2.61162592978191 2.48850771585373 3.22485348079451e-06 0.000320444620486136
"ENSG00000198929.8" 2.20857712191362 3.77983829077429 3.97609006928212e-06 0.000388785484106207
"ENSG00000087263.12" 1.61407809688619 5.81111128674355 4.00241017298581e-06 0.000388785484106207
"ENSG00000241878.5" 1.42171535312806 5.37180579661587 4.00431625268599e-06 0.000388785484106207
"ENSG00000119714.6" 2.05151226083445 3.88185816742975 4.20444353693385e-06 0.000405123616259558
"ENSG00000173166.13" 1.35266293484602 6.266544964669 4.33652567279062e-06 0.000414708797234766
"ENSG00000112183.10" 2.89046307589377 2.83428440561198 4.47864692339534e-06 0.00042510380760198
"ENSG00000120690.9" 1.07176761250928 7.97371507708694 4.98155660275272e-06 0.000469336432817866
"ENSG00000221926.7" 1.39004040868611 6.10582551226739 5.06451130002653e-06 0.00047364352371351
"ENSG00000141404.11" 4.03640044806618 3.6078938846088 5.12520859624743e-06 0.000475821373253074
"ENSG00000198712.1" 7.55093910166751 10.4999242309376 5.56965908283653e-06 0.000513336912134767
"ENSG00000172081.9" -1.81240545786772 4.99432729273985 6.04001494231901e-06 0.000552683093894643
"ENSG00000068650.14" 1.40322019392147 5.89707179527124 6.1226022880669e-06 0.000556238417870878
"ENSG00000136944.13" 1.30433054922376 5.71704760828958 6.5102746535338e-06 0.000587263711477279
"ENSG00000109062.5" 1.00486511244548 8.81760254525381 6.56877858613004e-06 0.000588368273499915
"ENSG00000114737.11" 1.69798138093158 4.63629420055445 7.06137032002896e-06 0.000628066916786352
"ENSG00000138069.12" 1.00106105815295 8.37375847886136 7.40327625502904e-06 0.000651268470991078
"ENSG00000219481.6" 1.07919739049569 7.50104223508704 7.42463466418007e-06 0.000651268470991078
"ENSG00000116337.11" 1.44505351416724 5.24109841774725 8.2972045781642e-06 0.000722822911162126
"ENSG00000137834.10" -2.07887390223812 4.29633046316331 1.09737065040574e-05 0.000949486891327252
"ENSG00000104205.8" 2.11528823289774 3.85188252923341 1.10574239572368e-05 0.000950266049406042
"ENSG00000163083.5" 0.98828434965104 8.18688915611053 1.12523702326629e-05 0.000960529509994899
"ENSG00000269881.1" -6.42584927580431 5.35358387337752 1.13891613442001e-05 0.00096572495424587
"ENSG00000177614.5" 1.91677122218304 3.96822265322998 1.15046622888241e-05 0.000969058275838108
"ENSG00000065183.11" 1.03887565516318 7.14232076619652 1.16726390970424e-05 0.000976738793916329
"ENSG00000159167.7" 1.52555394482061 4.88779284485943 1.17575054416024e-05 0.000977409880468897
"ENSG00000103257.4" 0.988718000393085 9.94549308396555 1.20829292908156e-05 0.000997940114609634
"ENSG00000180543.3" 1.02152642055736 7.74787608051253 1.30025962765624e-05 0.00106696788413934
"ENSG00000135763.5" 1.06276357341181 6.24100604610429 1.31712489428953e-05 0.0010738789442608
"ENSG00000175155.4" -1.85898104637379 4.31870016883878 1.38771575663716e-05 0.00112422654195338
"ENSG00000179965.7" 3.67422718997036 5.09766720023534 1.43338031357698e-05 0.00115387115242947
"ENSG00000167103.7" 2.36466386292592 2.56754360416343 1.47154746854207e-05 0.00117047431998431
"ENSG00000155324.5" -1.56201963456349 5.10284237926812 1.4724104976609e-05 0.00117047431998431
"ENSG00000090975.8" 1.49097686898508 4.93008603985671 1.49705007661486e-05 0.00118266956052574
"ENSG00000005436.9" -2.66228000369223 5.33177633098742 1.53659661341944e-05 0.00120076473853349
"ENSG00000129204.12" 1.71653642335215 4.67560545995173 1.5462211235059e-05 0.00120076473853349
"ENSG00000177200.11" 1.11719486319707 6.19821215553596 1.55085874128641e-05 0.00120076473853349
"ENSG00000162104.5" 1.16660416959937 6.85709863403372 1.55771823144922e-05 0.00120076473853349
"ENSG00000213865.3" -2.52291438523386 2.06677991376987 1.593236868553e-05 0.00122074576693528
"ENSG00000099942.8" 1.03615637874031 7.39871881698673 1.61199621541836e-05 0.00122772334514408
"ENSG00000204103.2" 1.46330451103299 4.97861647987344 1.73075614024206e-05 0.00131032662784159
"ENSG00000168140.4" 2.2282934963614 3.41446780456107 1.84841781952497e-05 0.00139112581340462
"ENSG00000172216.4" 1.07791067812816 6.24063158818892 2.03485463434569e-05 0.00152243035848487
"ENSG00000164938.9" -1.54234663143913 5.24866757494057 2.05203234111669e-05 0.00152630405536042
"ENSG00000140105.13" -1.01550938779961 7.4532376976969 2.16981212807861e-05 0.00160452560796697
"ENSG00000164048.9" -2.23477025234327 4.27783876302729 2.23809784210288e-05 0.00164545470830673
"ENSG00000118242.11" 0.99359832894757 6.8813371093434 2.29830495229074e-05 0.00168000808552792
"ENSG00000143951.11" -2.05647899798758 3.71869787011601 2.61895433574428e-05 0.00190345601121895
"ENSG00000174945.9" 2.80567704938323 5.03353180816144 2.75779182787522e-05 0.00197550325215285
"ENSG00000189403.10" 0.955034798028506 8.33020573400794 2.75885487203192e-05 0.00197550325215285
"ENSG00000120158.7" 1.4573026463751 5.35064094501024 2.76899831370578e-05 0.00197550325215285
"ENSG00000141232.4" 0.93818631158582 8.37602737294895 2.78021135415803e-05 0.00197550325215285
"ENSG00000089220.4" -0.937673975761974 9.46254629993765 3.00549138634019e-05 0.00212304588986809
"ENSG00000172197.9" 1.45719332504743 5.68673481972722 3.02123835259159e-05 0.00212304588986809
"ENSG00000139146.9" 1.45930345282075 6.49474019802398 3.10591574586601e-05 0.00217055727316867
"ENSG00000165389.6" 2.57691945149157 5.850614392209 3.14728670753068e-05 0.00218024954399393
"ENSG00000143549.15" -0.940646536326273 8.32835962845031 3.15406805641076e-05 0.00218024954399393
"ENSG00000163376.7" 2.24300232601137 2.97661502299816 3.2182445377401e-05 0.00221258660948737
"ENSG00000198000.7" 0.996008219634628 6.34296486949582 3.41677003270357e-05 0.00233644613150305
"ENSG00000186635.10" 0.987499693587017 6.53006470871682 3.50246202332437e-05 0.00238124581423133
"ENSG00000137285.9" -2.82208739614831 2.94514235044314 3.51972806883788e-05 0.00238124581423133
"ENSG00000169951.5" 2.62926136317858 2.50685331852169 3.65741954069394e-05 0.00246130789090404
"ENSG00000124302.8" 2.49070657306111 2.23331603599894 3.73085294011322e-05 0.00249751150238421
"ENSG00000184154.8" -4.9959345970286 5.41168234436927 3.88087878807334e-05 0.00258434017306308
"ENSG00000137878.12" 2.64178682340455 2.76284487114939 3.98228814484015e-05 0.00263805848511572
"ENSG00000172794.15" 2.26536375773215 2.17333273075009 4.13507542651457e-05 0.00272507898185693
"ENSG00000148154.5" 0.984658456714333 7.32314905503083 4.31496314651128e-05 0.00282896991033386
"ENSG00000141682.11" 1.97678876228915 3.44501932321249 4.41484856011481e-05 0.00287961327364617
"ENSG00000115318.7" -2.32406147920668 1.78648672422136 4.51614433172849e-05 0.00293065508955381
"ENSG00000178921.9" 1.21674202660171 5.45057017174254 4.58352540673516e-05 0.0029553103145952
"ENSG00000177932.6" -2.82796312172492 4.19645347113359 4.60847506345249e-05 0.0029553103145952
"ENSG00000184845.3" -2.22688562336914 2.25973589597106 4.6238442692385e-05 0.0029553103145952
"ENSG00000171621.9" 1.87486936355778 3.80611957179884 4.78899085368599e-05 0.00304555873340161
"ENSG00000143217.7" -1.16882696189424 5.54738056066237 4.91374811675388e-05 0.00310935135805933
"ENSG00000164535.10" 2.77708804974462 6.81586341174366 5.23103874243014e-05 0.00329374167153311
"ENSG00000113532.8" -1.0861203935471 6.0772647773862 5.4157113025849e-05 0.00339322325406785
"ENSG00000083857.9" 0.900480619622655 8.3785872678159 5.57260961059552e-05 0.0034744128253512
"ENSG00000185551.8" 0.901803669247409 8.84961483958606 5.60839903810744e-05 0.00347966962759456
"ENSG00000151458.7" -0.962410357470198 7.21830136046409 5.81960491577484e-05 0.0035928004227047
"ENSG00000130558.14" 1.6963658249905 4.1214375247232 5.84723396100223e-05 0.0035928004227047
"ENSG00000159388.5" -0.962350842340869 6.40345610817888 6.05545298334671e-05 0.00370285127380706
"ENSG00000120889.8" 1.45519362044754 5.00679013019695 6.58388012876714e-05 0.00400671633290858
"ENSG00000053254.11" -1.71467537373686 4.48633468286461 6.79759440769823e-05 0.00411707634626256
"ENSG00000140961.8" 1.52372330544694 4.53070982221896 6.85062322358474e-05 0.00412952970524997
"ENSG00000093167.13" 1.37105582368059 5.97596891558748 7.17385468137347e-05 0.00428617696353625
"ENSG00000064932.11" 0.922509421930375 6.9102704507153 7.17788893178097e-05 0.00428617696353625
"ENSG00000138829.6" -1.87082871013362 3.65933491367104 7.28238069680176e-05 0.00432825234030942
"ENSG00000119699.3" -1.84606138096657 3.88756993557945 7.39318222436539e-05 0.0043736690563583
"ENSG00000155090.10" 0.920599392359652 6.88338984514214 7.43891787888638e-05 0.00438035168988685
"ENSG00000144749.9" 1.16907828704677 5.49966598077645 7.78454743592502e-05 0.00456274925518573
"ENSG00000172602.5" -0.932667206843153 6.50306764523555 7.99489865848631e-05 0.00466454660721502
"ENSG00000178607.11" 1.0953101070972 5.84046313596002 8.32868286646421e-05 0.00483710125016248
"ENSG00000177706.8" -1.22105928783101 5.28972271038591 8.46146924899621e-05 0.00489188306263558
"ENSG00000241360.1" 1.49193563019597 4.75632839226651 8.89277446735651e-05 0.0051179727805569
"ENSG00000255112.2" 2.21577020019294 3.00430041519075 9.12501612126379e-05 0.0052279765786646
"ENSG00000178573.6" 2.21163493803302 2.01615308440274 9.19286644261931e-05 0.00524323176159978
"ENSG00000146433.8" 0.906069159716495 6.67007798888568 9.33564635477202e-05 0.00530089669581899
"ENSG00000119314.11" 0.966542622284724 7.5670177392576 9.41800376306929e-05 0.00532389288277681
"ENSG00000146242.5" 0.933465638492888 7.4407861665243 9.47964293164371e-05 0.0053350255950255
"ENSG00000239887.3" 2.65346251029329 4.30455160398414 9.83479030552489e-05 0.00549004723307506
"ENSG00000111912.14" -1.35984242808404 4.92485606117574 9.84142439768154e-05 0.00549004723307506
"ENSG00000137393.8" -2.0941043378062 4.91221005089172 0.000106917796020592 0.00593837313356291
"ENSG00000258664.1" 2.31236270895095 1.63186888930593 0.000108602063769719 0.00600569412646549
"ENSG00000198948.7" -1.44733514568344 4.94591587857259 0.000111853648503758 0.00615567828531319
"ENSG00000221883.2" 2.23045251136081 1.72781427171487 0.000112282204748224 0.00615567828531319
"ENSG00000183044.7" 0.911124629320601 7.92189433173374 0.000118107577251022 0.00643595195312725
"ENSG00000185989.9" 0.920384734627097 7.21002105234264 0.000119147973674649 0.00643595195312725
"ENSG00000189337.11" 1.58689266728898 5.27008322574507 0.000119201866146387 0.00643595195312725
"ENSG00000155760.1" 1.56162974159446 4.25037881325223 0.000119418559708942 0.00643595195312725
"ENSG00000014919.8" -1.51887494973591 4.34965400553416 0.000125901607164837 0.00675671958451293
"ENSG00000115738.5" -1.13928170163184 5.42325336037157 0.000130756131280149 0.0069831837163543
"ENSG00000106012.13" -0.906367489368994 7.1622385180802 0.00013123214332208 0.0069831837163543
"ENSG00000130045.11" 1.51971300002856 4.36682055009841 0.000131768542489585 0.0069831837163543
"ENSG00000239665.4" 2.50548682885723 2.24527293793072 0.00013304179563644 0.00702140497385843
"ENSG00000138650.7" -1.09669910689864 5.60311322106823 0.00013722403225678 0.00721220027385945
"ENSG00000184635.9" -2.20558432391164 2.83347318855088 0.000138278524341192 0.00723771420203957
"ENSG00000241945.3" 1.02352682629272 6.10596526145459 0.000146994504386715 0.00763724678251651
"ENSG00000135540.7" 1.4049040526369 4.88557177803798 0.000147112623768893 0.00763724678251651
"ENSG00000110104.7" 0.90836313414868 6.33377338352459 0.000147893923904706 0.00764659682172337
"ENSG00000103591.8" 0.895281569759271 7.7390233777135 0.000149174943456519 0.00768160366730146
"ENSG00000179041.2" 1.06766870202194 6.02131443409073 0.000151492195280564 0.00776947270876407
"ENSG00000184402.10" 0.901056151554809 6.37625080621593 0.000158424886160446 0.00807535355197746
"ENSG00000124784.4" 1.44339478463422 5.23792350440256 0.000159220230032398 0.00807535355197746
"ENSG00000134020.6" 1.94815819960759 3.0295435142255 0.000159361092974789 0.00807535355197746
"ENSG00000118515.7" 1.53767547428145 4.40892953626593 0.000160601338047343 0.00807800652259063
"ENSG00000146247.13" 0.883785755436305 7.86288073014977 0.000160683674047915 0.00807800652259063
"ENSG00000064652.6" 1.85765530634212 5.60155402132641 0.000166760301983604 0.00835048929499788
"ENSG00000163811.7" 0.897220710469311 7.21734397749537 0.000181999134731011 0.00901793014947153
"ENSG00000197562.5" 1.06479509159228 6.27755242925957 0.000182058019699184 0.00901793014947153
"ENSG00000092969.7" -0.896349237043291 6.30295477734924 0.000182216215772795 0.00901793014947153
"ENSG00000171604.7" 1.20953268686426 7.19127850801979 0.000183420318866041 0.00902198889034055
"ENSG00000155100.6" 0.928404414791265 6.26607264554822 0.000183716889896863 0.00902198889034055
"ENSG00000198730.3" 0.988140529187196 6.04978708309658 0.000186550535367064 0.009121390348163
"ENSG00000169242.7" -0.900793836033128 7.19742659582744 0.000187175318882816 0.009121390348163
"ENSG00000154370.9" 1.15758933372862 5.43589088366534 0.00018898866481495 0.00917027056197219
"ENSG00000092847.6" 1.24616333903049 5.01300401311995 0.000189620344193623 0.00917027056197219
"ENSG00000138081.15" -1.87885942327651 6.79890943479757 0.000194452647432408 0.00936834554050303
"ENSG00000147883.9" -2.14472258510476 2.39920703105124 0.000196035016824349 0.0094089410527883
"ENSG00000146278.10" -1.0920860096803 5.55683342420665 0.000200754992634502 0.00959925846360239
"ENSG00000173992.4" -1.17685380009212 5.16836028245921 0.000208188632295529 0.0099174202777784
"ENSG00000168461.8" 0.87662836275011 6.41368343120705 0.000239115195431618 0.0113481573533386
"ENSG00000015532.5" 0.953250776389193 6.10447491280168 0.000240115868448477 0.0113532852445955
"ENSG00000132256.14" -2.12325596828717 2.00220784709748 0.000244000592802256 0.0114942353327848
"ENSG00000258555.2" 2.03863378458227 2.09797750558094 0.000248023641889251 0.0116406372737616
"ENSG00000104635.9" 1.52614227468052 4.50033810746791 0.00024989597453596 0.0116853930151576
"ENSG00000145623.8" 1.24061756611254 6.81546578046771 0.000257191951231985 0.011982507061244
"ENSG00000102401.15" 1.50452162601329 4.93734726878861 0.000273959146729915 0.0127171036031306
"ENSG00000224186.4" -2.11237008456793 6.87250151615159 0.000278240574113094 0.0128688794987071
"ENSG00000173581.3" 2.77178424245702 1.77040330508842 0.000282163133389266 0.0130030177303553
"ENSG00000234857.2" -3.06511122847286 5.04669098009993 0.000284561734208377 0.0130662119039579
"ENSG00000127152.13" 1.40319522878501 4.50927531152333 0.000288450876974894 0.0131971464181427
"ENSG00000078795.12" 3.82165131256664 3.64237285108442 0.000297008251837041 0.0135399568283703
"ENSG00000129116.13" -0.83233377418163 8.09753976421078 0.000300595717115211 0.0136545604499585
"ENSG00000157540.15" 0.952269686802247 6.10207844852324 0.000306888504855917 0.0138908003318947
"ENSG00000188033.5" 1.42347894214691 4.49381670636471 0.000309408610328007 0.013955206080716
