"E2up_split"
"ENSG00000165389.6" "ENSG00000165389"
"ENSG00000163376.7" "ENSG00000163376"
"ENSG00000198000.7" "ENSG00000198000"
"ENSG00000186635.10" "ENSG00000186635"
"ENSG00000169951.5" "ENSG00000169951"
"ENSG00000124302.8" "ENSG00000124302"
"ENSG00000137878.12" "ENSG00000137878"
"ENSG00000172794.15" "ENSG00000172794"
"ENSG00000148154.5" "ENSG00000148154"
"ENSG00000141682.11" "ENSG00000141682"
"ENSG00000178921.9" "ENSG00000178921"
"ENSG00000171621.9" "ENSG00000171621"
"ENSG00000164535.10" "ENSG00000164535"
"ENSG00000083857.9" "ENSG00000083857"
"ENSG00000185551.8" "ENSG00000185551"
"ENSG00000130558.14" "ENSG00000130558"
"ENSG00000120889.8" "ENSG00000120889"
"ENSG00000140961.8" "ENSG00000140961"
"ENSG00000093167.13" "ENSG00000093167"
"ENSG00000064932.11" "ENSG00000064932"
"ENSG00000155090.10" "ENSG00000155090"
"ENSG00000144749.9" "ENSG00000144749"
"ENSG00000178607.11" "ENSG00000178607"
"ENSG00000241360.1" "ENSG00000241360"
"ENSG00000255112.2" "ENSG00000255112"
"ENSG00000178573.6" "ENSG00000178573"
"ENSG00000146433.8" "ENSG00000146433"
"ENSG00000119314.11" "ENSG00000119314"
"ENSG00000146242.5" "ENSG00000146242"
"ENSG00000239887.3" "ENSG00000239887"
"ENSG00000258664.1" "ENSG00000258664"
"ENSG00000221883.2" "ENSG00000221883"
"ENSG00000183044.7" "ENSG00000183044"
"ENSG00000185989.9" "ENSG00000185989"
"ENSG00000189337.11" "ENSG00000189337"
"ENSG00000155760.1" "ENSG00000155760"
"ENSG00000130045.11" "ENSG00000130045"
"ENSG00000239665.4" "ENSG00000239665"
"ENSG00000241945.3" "ENSG00000241945"
"ENSG00000135540.7" "ENSG00000135540"
"ENSG00000110104.7" "ENSG00000110104"
"ENSG00000103591.8" "ENSG00000103591"
"ENSG00000179041.2" "ENSG00000179041"
"ENSG00000184402.10" "ENSG00000184402"
"ENSG00000124784.4" "ENSG00000124784"
"ENSG00000134020.6" "ENSG00000134020"
"ENSG00000118515.7" "ENSG00000118515"
"ENSG00000146247.13" "ENSG00000146247"
"ENSG00000064652.6" "ENSG00000064652"
"ENSG00000163811.7" "ENSG00000163811"
"ENSG00000197562.5" "ENSG00000197562"
"ENSG00000171604.7" "ENSG00000171604"
"ENSG00000155100.6" "ENSG00000155100"
"ENSG00000198730.3" "ENSG00000198730"
"ENSG00000154370.9" "ENSG00000154370"
"ENSG00000092847.6" "ENSG00000092847"
"ENSG00000168461.8" "ENSG00000168461"
"ENSG00000015532.5" "ENSG00000015532"
"ENSG00000258555.2" "ENSG00000258555"
"ENSG00000104635.9" "ENSG00000104635"
"ENSG00000145623.8" "ENSG00000145623"
"ENSG00000102401.15" "ENSG00000102401"
"ENSG00000173581.3" "ENSG00000173581"
"ENSG00000127152.13" "ENSG00000127152"
"ENSG00000078795.12" "ENSG00000078795"
"ENSG00000157540.15" "ENSG00000157540"
"ENSG00000188033.5" "ENSG00000188033"
"ENSG00000164134.8" "ENSG00000164134"
"ENSG00000164164.11" "ENSG00000164164"
"ENSG00000165661.11" "ENSG00000165661"
